trip_id,cycle_id,direction,start_time,end_time,distance_km,num_stops,is_peak,energy_kwh
52,25,1,1900-01-01 12:05:45.415765,1900-01-01 12:35:30.831530,12,24,False,17.450084148360833
53,26,0,1900-01-01 11:50:00.000000,1900-01-01 12:19:17.416070,12,24,False,18.525031704836945
54,26,1,1900-01-01 12:25:17.416070,1900-01-01 12:54:34.832140,12,24,False,17.454685013626285
55,27,0,1900-01-01 12:08:00.000000,1900-01-01 12:36:40.699294,12,24,False,17.373718551447784
56,27,1,1900-01-01 12:42:40.699294,1900-01-01 13:11:21.398588,12,24,False,18.162334026845187
57,28,0,1900-01-01 12:28:00.000000,1900-01-01 12:55:23.961344,12,24,False,17.379462162878994
58,28,1,1900-01-01 13:01:23.961344,1900-01-01 13:28:47.922688,12,24,False,18.170190514914385
59,29,0,1900-01-01 12:46:00.000000,1900-01-01 13:15:58.578737,12,24,False,17.80501817750483
60,29,1,1900-01-01 13:21:58.578737,1900-01-01 13:51:57.157474,12,24,False,17.94022636680466
61,30,0,1900-01-01 13:06:00.000000,1900-01-01 13:33:52.661182,12,24,False,18.027246518606404
62,30,1,1900-01-01 13:39:52.661182,1900-01-01 14:07:45.322364,12,24,False,17.74483376529489
63,31,0,1900-01-01 13:24:00.000000,1900-01-01 13:53:17.960320,12,24,False,19.200946716163273
64,31,1,1900-01-01 13:59:17.960320,1900-01-01 14:28:35.920640,12,24,False,18.155431683991182
65,32,0,1900-01-01 13:45:00.000000,1900-01-01 14:14:01.544017,12,24,False,17.796521932759234
66,32,1,1900-01-01 14:20:01.544017,1900-01-01 14:49:03.088034,12,24,False,17.553824131827707
67,33,0,1900-01-01 14:07:00.000000,1900-01-01 14:35:37.792087,12,24,False,17.399858357968235
68,33,1,1900-01-01 14:41:37.792087,1900-01-01 15:10:15.584174,12,24,False,17.910596918633118
69,34,0,1900-01-01 14:25:00.000000,1900-01-01 14:56:29.485276,12,24,False,17.38212480214875
70,34,1,1900-01-01 15:02:29.485276,1900-01-01 15:33:58.970552,12,24,False,18.526115313527075
71,35,0,1900-01-01 14:46:00.000000,1900-01-01 15:15:40.262059,12,24,False,17.8727041044039
72,35,1,1900-01-01 15:21:40.262059,1900-01-01 15:51:20.524118,12,24,False,18.182949655928507
73,36,0,1900-01-01 15:08:00.000000,1900-01-01 15:34:40.326318,12,24,False,18.067506929818958
74,36,1,1900-01-01 15:40:40.326318,1900-01-01 16:07:20.652636,12,24,False,17.588161101326534
75,37,0,1900-01-01 15:30:00.000000,1900-01-01 15:59:05.130329,12,24,False,17.666447826023205
76,37,1,1900-01-01 16:05:05.130329,1900-01-01 16:34:10.260658,12,24,False,19.03465241543022
77,38,0,1900-01-01 15:52:00.000000,1900-01-01 16:21:51.448318,12,24,False,17.38300166643642
78,38,1,1900-01-01 16:27:51.448318,1900-01-01 16:57:42.896636,12,24,False,17.37123957940551
79,39,0,1900-01-01 16:12:00.000000,1900-01-01 16:41:20.483104,12,24,False,17.47864881060503
80,39,1,1900-01-01 16:47:20.483104,1900-01-01 17:16:40.966208,12,24,False,17.728475013277492
81,40,0,1900-01-01 16:31:00.000000,1900-01-01 16:58:53.071018,12,24,False,17.573630297199966
82,40,1,1900-01-01 17:04:53.071018,1900-01-01 17:32:46.142036,12,24,False,17.727967205395768
83,41,0,1900-01-01 16:53:00.000000,1900-01-01 17:21:19.545069,12,24,False,18.530827343786076
84,41,1,1900-01-01 17:27:19.545069,1900-01-01 17:55:39.090138,12,24,False,17.566128845808066
85,42,0,1900-01-01 17:14:00.000000,1900-01-01 17:42:10.671183,12,24,False,17.394667474085416
86,42,1,1900-01-01 17:48:10.671183,1900-01-01 18:16:21.342366,12,24,False,17.49476377367873
87,43,0,1900-01-01 17:35:00.000000,1900-01-01 18:01:42.113321,12,24,False,17.6494439965766
88,43,1,1900-01-01 18:07:42.113321,1900-01-01 18:34:24.226642,12,24,False,17.729913613066962
89,44,0,1900-01-01 17:55:00.000000,1900-01-01 18:23:18.513734,12,24,False,17.85240224571233
90,44,1,1900-01-01 18:29:18.513734,1900-01-01 18:57:37.027468,12,24,False,18.755130536449013
91,45,0,1900-01-01 18:14:00.000000,1900-01-01 18:41:30.456175,12,24,False,17.52510059864204
92,45,1,1900-01-01 18:47:30.456175,1900-01-01 19:15:00.912350,12,24,False,18.02208746126097
93,46,0,1900-01-01 18:32:00.000000,1900-01-01 19:00:12.710266,12,24,False,17.56553620197882
94,46,1,1900-01-01 19:06:12.710266,1900-01-01 19:34:25.420532,12,24,False,17.745357118077504
95,47,0,1900-01-01 18:50:00.000000,1900-01-01 19:16:36.283655,12,24,False,18.01241010956061
96,47,1,1900-01-01 19:22:36.283655,1900-01-01 19:49:12.567310,12,24,False,18.14770811996097
97,48,0,1900-01-01 19:11:00.000000,1900-01-01 19:35:49.034156,12,24,False,17.814746693376918
98,48,1,1900-01-01 19:41:49.034156,1900-01-01 20:06:38.068312,12,24,False,17.97958950936841
99,49,0,1900-01-01 19:33:00.000000,1900-01-01 20:02:19.096615,12,24,False,18.07411335433735
100,49,1,1900-01-01 20:08:19.096615,1900-01-01 20:37:38.193230,12,24,False,17.634154010629555
101,50,0,1900-01-01 19:55:00.000000,1900-01-01 20:23:17.155694,12,24,False,18.431644193867893
102,50,1,1900-01-01 20:29:17.155694,1900-01-01 20:57:34.311388,12,24,False,17.764455612510222
103,51,0,1900-01-01 20:13:00.000000,1900-01-01 20:40:35.795046,12,24,False,18.379380541286498
104,51,1,1900-01-01 20:46:35.795046,1900-01-01 21:14:11.590092,12,24,False,17.758367986234703
105,52,0,1900-01-01 20:33:00.000000,1900-01-01 21:00:48.353552,12,24,False,18.225830079160737
106,52,1,1900-01-01 21:06:48.353552,1900-01-01 21:34:36.707104,12,24,False,18.07424896040897
107,53,0,1900-01-01 20:51:00.000000,1900-01-01 21:19:34.817447,12,24,False,17.661286980051333
108,53,1,1900-01-01 21:25:34.817447,1900-01-01 21:54:09.634894,12,24,False,17.463475356268454
109,54,0,1900-01-01 21:10:00.000000,1900-01-01 21:40:01.608616,12,24,False,17.776594692735824
110,54,1,1900-01-01 21:46:01.608616,1900-01-01 22:16:03.217232,12,24,False,17.405300338198614
111,55,0,1900-01-01 21:31:00.000000,1900-01-01 21:58:13.085598,12,24,False,17.60993488587925
112,55,1,1900-01-01 22:04:13.085598,1900-01-01 22:31:26.171196,12,24,False,18.498018181212267
113,56,0,1900-01-01 21:51:00.000000,1900-01-01 22:19:08.241058,12,24,False,17.769772428069153
114,56,1,1900-01-01 22:25:08.241058,1900-01-01 22:53:16.482116,12,24,False,17.912337109929766
